,Stocks,Industry,LastPrice,Change,PctChange,MktCap,URL,Ticker
139,REC,Finance - Term Lending Institutions,106.25,-0.90,-0.84,27978.0,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/rec/REC02,RECLTD.NS
140,Tourism Finance,Finance - Term Lending Institutions,61.05,-0.65,-1.05,552.0,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/tourismfinancecorpindia/TFC,TFCILTD.NS
141,Welspun Invest,Finance - Investments,271.95,-2.95,-1.07,99.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/welspuninvestmentscommercials/WIC01,WELINV.NS
142,GIC Housing Fin,Finance - Housing,140.90,-1.55,-1.09,759.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,GICHSGFIN.NS
143,PNB Housing Fin,Finance - Housing,375.70,-4.15,-1.09,6335.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/pnbhousingfinance/PHF,PNBHOUSING.NS
144,SVP Global,,36.20,-0.40,-1.09,458.0,https://www.moneycontrol.com/india/stockpricequote/svpglobaltextiles/svpglobaltextiles/SM18,SVPGLOB.NS
145,Power Finance,Finance - Term Lending Institutions,114.45,-1.45,-1.25,30216.0,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/powerfinancecorporation/PFC02,PFC.NS
146,ICICI Prudentia,Finance - General,585.05,-7.85,-1.32,84129.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iciciprudentiallifeinsurancecompany/IPL01,ICICIPRULI.NS
147,Transwarranty,Finance - General,10.60,-0.15,-1.40,26.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/transwarrantyfinance/TF10,TFL.NS
148,Prime Sec,Finance - Investments,112.70,-1.65,-1.44,356.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/primesecurities/PS,PRIMESECU.NS
149,IIFL Finance,Finance - General,338.55,-5.05,-1.47,12857.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflfinance/II15,IIFL.NS
150,Nagreeka Cap,Finance - Investments,13.15,-0.20,-1.50,17.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/nagreekacapitalinfrastructure/NCI,NAGREEKCAP.NS
151,Religare Enterp,Finance - Investments,151.05,-2.40,-1.56,4822.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/religareenterprises/RE09,RELIGARE.NS
152,MO NAS100 ETF,,94.97,-1.56,-1.62,44.0,https://www.moneycontrol.com/india/stockpricequote/motilaloswalnasdaq100etf/motilaloswalnasdaq100etf/MOM02,MON100.NS
153,Consol Finvest,Finance - General,144.00,-2.45,-1.67,466.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/consolidatedfinvestholdings/CFH01,CONSOFINVT.NS
154,Dolat Algotech,,74.40,-1.45,-1.91,1309.0,https://www.moneycontrol.com/india/stockpricequote/dolatalgotech/dolatalgotech/DI11,DOLATALGO.NS
155,21st Cen Mgt,Finance - General,27.75,-0.55,-1.94,29.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/21stcenturymanagement/21C,21STCENMGM.NS
156,Paisalo Digital,Finance - Investments,72.95,-1.55,-2.08,3203.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/paisalodigitalltd/SEI03,PAISALO.NS
157,Repco Home,Finance - Housing,237.10,-5.35,-2.21,1483.0,https://www.moneycontrol.com/india/stockpricequote/financehousing/repcohomefinance/RHF,REPCOHOME.NS
158,Hb Stockhol,Finance - Leasing & Hire Purchase,57.95,-1.50,-2.52,41.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/hbstockholdings/HBS,HBSL.NS
159,STEL Holdings,Finance - Investments,138.65,-3.95,-2.77,256.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/stelholdings/STE01,STEL.NS
160,McDowell Hold,Finance - Investments,68.75,-2.05,-2.90,96.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/mcdowellholdings/MDH,MCDHOLDING.NS
161,Arihant Super,Construction & Contracting - Real Estate,215.80,-6.50,-2.92,888.0,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/arihantsuperstructures/SMC07,ARIHANTSUP.NS
162,Optiemus Infra,Finance - Leasing & Hire Purchase,240.50,-8.15,-3.28,2064.0,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/optiemusinfracom/AF02,OPTIEMUS.NS
163,The Investment ,Finance - General,92.35,-4.70,-4.84,482.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/theinvestmenttrustindia/FFS03,THEINVEST.NS
164,Viji Finance,Finance - General,2.80,-0.15,-5.08,23.0,https://www.moneycontrol.com/india/stockpricequote/financegeneral/vijifinance/VF08,VIJIFIN.NS
165,Stampede Cap,Finance - Investments,0.65,-0.05,-7.14,15.0,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/stampedecapital/BS11,STAMPEDE.NS
